Word,Definition,Context
affirmative,,Good fortune also happens when you take affirmative action. 
frivolous,,"It would have been impossible and unwise to spend it on frivolous ventures, and any R&D would need to be carefully considered over the next two to three years. "
cost,,"Every year that the client brings his work to me, he mentions the above issue and complains about the cost to him of the previous accountant’s tardiness. "
onus,,They have the ability to search records from any external source and even assess you on a deemed level of income to push the onus of proof back to the taxpayer to disprove it. 
The,,The ATO will often consider any extenuating circumstances when deciding what action they will take. 
extenuating,,The ATO will often consider any extenuating circumstances when deciding what action they will take. 
remission,,"You then have the option to apply for remission, either in full or in part, if, say, there were extenuating circumstances surrounding your situation. "
onerous,,These rules are tricky and onerous. 
Clunkers,,"The US economy recovered very slowly, under the influence of an unprecedented range of government interventions, from the ‘Cash for Clunkers’ scheme that encouraged consumers to dump old cars and buy new ones, to ‘Quantitative Easing’, where the Federal Reserve purchased a trillion-dollars-worth of bonds from the financial sector every year, in an attempt to stimulate the economy by making the wealthy wealthier. "
totem,,"Events like the GFC upset the ‘totem’ that characterizes Neoclassical economics, the ‘supply and demand’ diagram (Leijonhufvud 1973),4 in which the intersecting lines determine both equilibrium price and equilibrium quantity, and in which any government intervention necessarily makes things worse, by moving the market away from this"
seignorage,,teristics distinguished a monetary economy from a ‘barter’ system of exchange: (a) money has to be a token currency (otherwise it would give rise to barter and not to monetary exchanges); (b) money has to be accepted as a means of final settlement of the transaction (otherwise it would be credit and not money); (c) money must not grant privileges of seignorage to any agent making a payment. 
imputed,,I instead propose basing the maximum debt that can be used to purchase a property on the income (actual or imputed) of the property itself. 
foments,,"No interest rate, no regulation, can hold against the charge to insanity that such a feasible prospect foments. "
effusive,,"Ben Bernanke, then a member of the Federal Reserve Board of Governors, was particularly effusive in his praise for ‘the Great Moderation’: As it turned out, the low-inflation era of the past two decades has seen not only significant improvements in economic growth and productivity but also a marked reduction in economic volatility, both in the United States and abroad, a phenomenon that has been dubbed ‘the Great Moderation.’ "
foolhardy,,"In general, this is foolhardy: imagine, for example, that the same belief took over biology, so that biologists believed that ‘Molecular Biology is just applied Chemistry’. "
fiat,,The State as the conduit for fiat money transfers where money is the State’s liability and physical gold its asset 2.3. 
fibula,,"In 1960, a Belgian explorer named Jean de Heinzelin de Braucourt was surveying the region of Ishango, at the border of present-day Uganda and Congo (then the Belgian Congo), when he discovered a strange-looking bone: a baboon’s fibula bearing what looked like numerous tally marks. "
regress,,"If arising, abiding, and ceasing Have characteristics other than those of the produced, There would be an infinite regress. "
tim,,By this tim? 
humbug,,"It is as though you could hear a voice speaking to you, a friendly Amierican voice, with no humbug in it, no moral purpose, merely an implicit assumption that we are all alike. "
greenfinch,,All ignorant we dared to own The joys we now dissemble; The greenfinch on the apple bough Could make my enemies tremble. 
bough,,All ignorant we dared to own The joys we now dissemble; The greenfinch on the apple bough Could make my enemies tremble. 
argot,,"The customer whose place of business is in Chandler—a conglomeration of huge and faceless buildings that are known in the argot as a “fab,” or fabrication plant, for in line with this new world order, factories that make metal things are being supplemented by fabs* that make electronic things—could easily afford the sum. "
Christianity,,This book is thus an unabashed defense of the power of biblical ideas to shape culture and of a Christianity that unites heart and mind to bring the gospel of the kingdom boldly into all areas of human life. 
heath,,(This same thing happened with the English word heathen: the people who lived on the heath worshiped the old gods.) 
appease,,"Religious rituals were designed to appease deities, not to please them. "
quintessence,,"These are surprisingly similar to the Greek elements of the universe, which are also earth, wind, fire, and water, but which include a fifth essence called just that: quintessence, from which we get the word quintessential. "
oeuvre,,Grothendieck’s entire oeuvre was motivated and driven by his quest to understand the meaning of numbers—including the deep concepts zero and infinity—as evident also in the formulation of the ten mysterious numerals that rule our world. 
turgid,,"That’s because the algorithms controlling our news feeds reward alarmism over objectivity, and the Fed—and all other central banks, for that matter—purposefully speaks in vague, wordy language—known as Fedspeak, defined by the economist Alan Blinder as “a turgid dialect of English”—in an attempt to stop the markets from overreacting, and with the unfortunate side effect of confusing everyone. "
dorky,,I know that sounds kind of dorky—“You’re the economy!”—but it’s true. 
dismal,,"Economics is known as the dismal science, but it really should be known as the dismal art. "
walloped,,So Netflix was walloped by the strong dollar in 2022. 
gouging,,There was a huge controversy about Ticketmaster price gouging and using weird selling mechanics that kept the prices from being determined by the market. 
bonkers,,Semiconductors Remember those teeny chips that had supply and demand going bonkers? 
explain,,"GDP = C + G + I + NX Where C = consumption G = government purchases I = investment NX = net exports Most economists explain GDP via a pie chart, but I think it makes more sense to explain it with a diagram, where we can zoom in on consumer spending, the most critical component of GDP."
pneumatic,,"*1 A proud member of the Cyclists’ Touring Club, he rides up and down the Thames valley on a forty-pounder with tubular frame and pneumatic tires, savoring the thrill of riding his machine: “A memory of motion lingers in the muscles of your legs, and round and round they seem to go.” "
ken,,Though the ancients imagined immortality and rebirth and lands of the dead time machines were beyond their ken. 
flummery,,Or is it just flummery? 
catchall,,"For a while in Victorian England the fourth dimension served as a catchall, a hideaway for the mysterious, the unseen, the spiritual—anything that seemed to be lurking just out of sight. "
wisecrack,,"*3 Richard Feynman said, “Time is what happens when nothing else happens,” which he knew was a wisecrack. "
phantasm,,"“Time is a phantasm of motion,” said Thomas Hobbes in 1655. "
handmaids,,"In this letter Leo grappled with the problem of how the Church should treat nuns raped by the Vandals some fifteen years earlier, as they passed through Mauretania on their way to Carthage—‘handmaids of God who have lost the integrity of their honour through the oppression of the barbarians’, as he discreetly put it. "
cynicism,,The result is widespread cynicism. 
stonk,,"It was no longer a metaphor, but a living structure—the stonk market, characterized by a lot of get-rich-quick ideology, loneliness, irrational behavior, and pervasive fear as humans were haunted by those animal spirits. "
filibusters,,Political polarization has increased based on the number of filibusters in the Senate. 
idée fixe,,"We copy one another’s desires and therefore are in perpetual conflict with one another over the objects of our desire; his idée fixe is that the permanent threat of violence could end only if the violence was directed against a single victim – a practice which he discovered founds, preserves and unifies culture. "
expedient,,"I listened intently as he explained for us what I (and others with me) call the Caiaphas solution: “It is more expedient that one man should die, rather than the whole nation should suffer.” "
way,,"INTRODUCTION: CREATURES OF THE AIR THIS IS THE STORY of two men who invented a way to turn air into bread, built factories the size of small cities, made enormous fortunes, helped engineer the deaths of millions of people, and saved the lives of billions more. "
fortunes,,"INTRODUCTION: CREATURES OF THE AIR THIS IS THE STORY of two men who invented a way to turn air into bread, built factories the size of small cities, made enormous fortunes, helped engineer the deaths of millions of people, and saved the lives of billions more. "
stanchion,,Beauty had been kept locked in a dairy stanchion all day long. 
chute,,"One summer when I was visiting my aunt, who had a dude ranch in Arizona, I saw a herd of cattle being put through the squeeze chute at a neighboring ranch. "
Nominally,,"Nominally, the only math required in this book is the arithmetic of positive and negative integers. "
But,,"But the real trouble, says Henrich, is that WEIRD people are different from the other 88 percent of the world’s population. "
cynicism,,"Schools, gymnasiums, arithmetic, geometry, history, rhetoric, physics, biology, anatomy, hygiene, therapy, cosmetics, poetry, music, tragedy, comedy, philosophy, theology, agnosticism, skepticism, stoicism, epicureanism, ethics, politics, idealism, philanthropy, cynicism, tyranny, plutocracy, democracy: these are all Greek words for cultural forms seldom originated, but in many cases first matured for good or evil by the abounding energy of the Greeks. "
and,,"We shall begin with Crete and its lately resurrected civilization, because apparently from Crete, as well as from Asia, came that prehistoric culture of Mycenae and Tiryns which slowly transformed the immigrating Achaeans and the invading Dorians into civilized Greeks; and we shall study for a moment the virile world of warriors and lovers, pirates and troubadours, that has come down to us on the rushing river of Homer’s verse. "
virile,,"We shall begin with Crete and its lately resurrected civilization, because apparently from Crete, as well as from Asia, came that prehistoric culture of Mycenae and Tiryns which slowly transformed the immigrating Achaeans and the invading Dorians into civilized Greeks; and we shall study for a moment the virile world of warriors and lovers, pirates and troubadours, that has come down to us on the rushing river of Homer’s verse. "
troubadours,,"We shall begin with Crete and its lately resurrected civilization, because apparently from Crete, as well as from Asia, came that prehistoric culture of Mycenae and Tiryns which slowly transformed the immigrating Achaeans and the invading Dorians into civilized Greeks; and we shall study for a moment the virile world of warriors and lovers, pirates and troubadours, that has come down to us on the rushing river of Homer’s verse. "
entomologist,,Kinsey was an entomologist who spent his career studying the gall wasp. 
bestiality,,"Kinsey and a small group of research assistants interviewed thousands of subjects in person, asking 521 questions about a tremendous variety of sexual interests, including bondage, bestiality, and silk stockings. "
emasculated,,"Reimer had intended to use if she had given birth to a girl, have David undergo surgery to give him a vagina, and raise their emasculated son as a daughter. "
prepubescent,,"For example, imagine a culture in which every prepubescent boy is encouraged to perform fellatio on an older teenager several times a week for three or four years, as part of a ritualistic initiation into adulthood. "
fellatio,,"For example, imagine a culture in which every prepubescent boy is encouraged to perform fellatio on an older teenager several times a week for three or four years, as part of a ritualistic initiation into adulthood. "
mojo,,"The Sambia believe that semen is the essence of manhood (sort of like Austin Powers’s mojo) and all Sambian boys must ingest quite a bit of it to become strong, masculine men. "
derrieres,,"  A large penis is always welcome. —Atia of the Julii, Rome, season 1       Wolfgang likes to look at images of female derrieres. "
gestalt,,"The only way I could see of trying to preserve that gestalt was to try for a language as close as possible to Dante’s, which is in essence a sparse, direct, and idiomatic language, distinguishable from prose only in that it transcends every known notion of prose. "
cobblers,,"All of them have not, of course, been unanimous in their appreciation: for a fifteenth-century Latinist, Dante was a poet “fit for cobblers”; eighteenth-century worshipers of Reason could not be wholly sympathetic to a poet who insisted on the limitations of reason and philosophy. "
attrition,,"And like a miser—eager in acquisition but desperate in self-reproach when Fortune’s wheel turns to the hour of his loss-all tears and attrition   I wavered back; and still the beast pursued, forcing herself against me bit by bit till I slid back into the sunless wood. "
prosaic,,"“Throughout the whole earth, and wherever the vault of heaven spreads, there is no country so fair”: thus even the prosaic elder Pliny spoke of his fatherland.1 “Here is eternal spring,” sang Virgil, “and summer even in months not her own. "
pugnacity,,"* Hardships of transportation through mountains and forests collaborated with the jealous pugnacity of men, here as in Greece, to form independent city-states, seldom united against external foes; each cherished its separate security, often stood aside while others were attacked, and, one after another, succumbed to Rome. "
huddles,,"She huddles in a corner, then quickly creeps across the street and cowers in another darkened spot, at no. "
sullied,,Klausen is something of a dandy and hates to have his clothes sullied. 
dandy,,Klausen is something of a dandy and hates to have his clothes sullied. 
dialectic,,12 An ascending series of dialectic triads. 
dialectically,,"Plato, for instance, frequently reasoned dialectically, fitting theses, antitheses, and syntheses together into chains of triads. "
relegate,,"But the editor compelled me to water the discussion down repeatedly until there was practically nothing left, and then to relegate much of what was left to an appendix. "
sly,,I chuckled a few times as Feynman got in some sly digs at other physicists. 
Venice,,The Comedy of Errors Love’s Labour’s Lost Measure for Measure The Merchant of Venice The Merry Wives of Windsor A Midsummer Nights Dream Much Ado About Nothing
Usurper,,"DUKE, living in exile FREDERICK, Brother to the Duke, and Usurper of his Dominions AMIENS, Lord attending on the Duke in his Banishment JAQUES, Lord attending on the Duke in his Banishment LE BEAU, a Courtier attending upon Frederick CHARLES, his Wrestler"
exactitude,,"Does this mean that physics, a science of great exactitude, has been reduced to calculating only the probability of an event, and not predicting exactly what will happen? "
Boatswain,,"Boatswain Here, master: what cheer? "
aphids,,"‘Generation’ refers to the origin and growth of organisms, while ‘reproduction’ was initially coined to describe the literal reproduction of parthenogenetic organisms such as aphids, in which the females reproduce themselves without the involvement of any males. "
parthenogenetic,,"‘Generation’ refers to the origin and growth of organisms, while ‘reproduction’ was initially coined to describe the literal reproduction of parthenogenetic organisms such as aphids, in which the females reproduce themselves without the involvement of any males. "
polydactyly,,"The implication of Réaumur and Maupertuis’s observations was that there was an underlying, unknown force shaping the appearance of polydactyly down the generations, but there was no explanation of why polydactyly sometimes appeared and sometimes did not—like did not necessarily breed like in these genealogies. "
number,,"This question caused much disagreement between Gottfried Leibniz, who believed the logarithm of a negative number to be ‘impossible’, and Johann Bernoulli, who used the basic equation to prove that, for any number x,"
Decimal,,"Decimal fractions—the extension of our decimal numeration system to numbers less than 1—had only recently been introduced to Europe,10 and the public still did not feel comfortable with them. "
Making,,"[ 3 ] Making a Commit In the last chapter, you learned about the different areas you will interact with when working with Git: the working directory, the staging area, the commit history, and the local"
space,,"The simple harmonic oscillator has a one-dimensional configuration space, labeled by its position x, so its phase space is two-dimensional, {x, p}. "
derivative,,"If we’re handed an actual function, or the readout from an odometer, do we really have to go through all of this rigamarole to find its derivative? "
impetus,,"He suggested that the bowstring imparted a certain quantity, later dubbed “impetus,” to the arrow, which kept it moving for a while before eventually dissipating away. "
viz,,"Rather than acting as a collection of individuals, quantum systems establish complex relationships, and it is these relationships that suddenly enable amazing new things: When two systems, of which we know the states by their respective representatives, enter into temporary physical interaction due to known forces between them, and when after a time of mutual influence the systems separate again, then they can no longer be described in the same way as before, viz. by endowing each of them with a representative of its own. "
quantum,,"Thus, his notion of a quantum simulator contained the first seeds of the idea of quantum computation. "
expounding,,"For our purposes, it suffices to just consider the overall change of systems between some time t1 and some time t2, without expounding on the details of what exactly happens in between these times. "
gnosis,,"In Ud 5.5, the Buddha says, “Just as the ocean has a gradual shelf, a gradual slope, a gradual inclination, with a sudden drop-off only after a long stretch, in the same way this Dhamma Discipline (dhamma-vinaya) has a gradual training (anupubbasikkhā), a gradual performance (anupubbakiriyā), a gradual progression (anupubbapatipadā), with a penetration to gnosis only after a long stretch.” "
The,,The student becomes distracted and/or the pleasant sensation disappears. 
corollary,,An immediate corollary of this fact is the following. 
Gnome,,"MY FRIEND THE GNOME OF ZURICH SAYS A MAJOR MONEY CRISIS IS ON ITS WAY Everybody reads about the Gnomes of Zurich, and people even sometimes talk about them when they are trying to puzzle their way through all the noise about gold problems, but I am the only man I know who really does know a genuine Gnome of Zurich. "
manifold,,"And the manifold of such symbols, finally, will not form a flat catalogue but prove amenable to theoretization as an intelligible succession of phases in a historical process. "
premia,,It is not just the equity premium that varies predictably over time—most premia do. 
ex,,"When salient adverse events for any risk factor materialize, the ex ante premium tends to widen and then only gradually decay from elevated levels, with the pace of the decay perhaps related to lingering investor memories.   "
ex ante,,"When salient adverse events for any risk factor materialize, the ex ante premium tends to widen and then only gradually decay from elevated levels, with the pace of the decay perhaps related to lingering investor memories.   "
rarefied,,"In the less rarefied world of ordinary active managers, nearly every view-taking investor subjectively expects the trade to be profitable. "
monotone,,"Two factors come together in extrapolations from the moment: first, limited focus on a notable feature of the present and, second, extension of the perceived trend in a more or less linear and ""monotone"" fashion (that is, without allowing for any change in direction). "
conflagration,,"1] With that, Churchill, on the eve of World War I, had captured a fundamental truth, and one applicable not only to the conflagration that followed, but to the many decades ahead. "
Rhineland,,It was not received with the passivity that had met Hitler's militarization of the Rhineland and Mussolini's assault on Ethiopia. 
mustered,,"Instead, the United Nations instituted an embargo against Iraq, and many nations of the Western and Arab worlds dramatically mustered military force to defend neighboring Saudi Arabia against Iraq and to resist Saddam Hussein's ambitions. "
pervasive,,"Oil is the world's biggest and most pervasive business, the greatest of the great industries that arose in the last decades of the nineteenth century. "
Assuage,,"To ""Assuage Our Woes"" The venture had its origins in a series of accidental glimpses—and in the determination of one man, George Bissell, who, more than anybody else, was responsible for the creation of the oil industry. "
skimmings,,"Ill health forced him to head back north in 1853, and passing through western Pennsylvania on his way home, he saw something of the primitive oil-gathering industry with its skimmings and oil-soaked rags. "
purveyor,,"One purveyor of Seneca Oil advertised its ""wonderful curative powers"" in a poem: The Healthful balm, from Nature's secret spring, The bloom of health, and life, to man will bring; As from her depths the magic liquid flows, To calm our sufferings, and assuage our woes. "
asphalt,,"In the first century B.C., the Greek historian Diodor wrote enthusiastically about the ancient bitumen industry: ""Whereas many incredible miracles occur in the Babylonian country, there is none such as the great quantity of asphalt found there."" "
Jericho,,It bound the walls of both Jericho and Babylon. 
heaved,,"The Byzantines heaved it on attacking ships, shot it on the tips of arrows, and hurled it in primitive grenades. "
derricks,,"There in the window, he caught sight of an advertisement for a rock oil medicine that showed several drilling derricks—of the kind used to bore for salt. "
loquacious,,"It was the sort of hotel where men gathered to exchange news and shoot the breeze, a perfect setting for the thirty-eight-year-old Drake, who was friendly, jovial, and loquacious, and had nothing else to do. "
tenacious,,He had another attribute that would be of great value: He could be very tenacious. 
fretted,,"So he devoted himself to erecting the steam engine that would power the drill bit, while the investors back in New Haven fretted and waited. "
avarice,,"What is the end of avarice and ambition, of the pursuit of wealth, of power and pre-eminence? "
Blancmange,,"Blancmange powder was developed in the 1870s, and jelly crystals in the 1890s. "
insalubrious,,"If we are made to live in a draughty, insalubrious cottage and bend to the harsh rule of an aristocrat occupying a large and well-heated castle, and yet we observe that our equals all live exactly as we do, then our condition will seem normal—regrettable, certainly, but not a fertile ground for envy. "
hackney,,"A common soldier bears no envy for his general compared to what he will feel for his sergeant or corporal; nor does an eminent writer meet with as much jealousy in common hackney scribblers, as in authors that more nearly approach him. "
expedient,,"“It is clear that some men are by nature free and others are by nature slaves, and that for these latter, slavery is both expedient and right,” Aristotle declared in his Politics (350 B.C.), voicing an opinion shared by almost all Greek and Roman thinkers and leaders. "
contended,,"In Leviathan (1651), Thomas Hobbes contended that the individual predated society and had formed and joined it for his own benefit, willingly surrendering his natural rights in exchange for the protection offered by a group or sovereign. "
antipasti,,"Within the Square Mile of the City of London there are over 500 cafes, restaurants and takeaway venues, serving an incredible variety of food from Japanese sushi to Italian antipasti, Middle Eastern mezze to good old British fish and chips.1 But who decides what is going to be on offer? "
walk,,They walk south towards the Thames and plonk themselves on a bench to watch the water rush past. 
plonk,,They walk south towards the Thames and plonk themselves on a bench to watch the water rush past. 
happy hour,,"Saying yes to staying late at work means saying no to reading your daughter a bedtime story; saying yes to that extra drink in happy hour means saying no to the early morning run, and a clear head the next day. "
punters,,"The drinks are exactly the same, and the preferences of punters haven’t changed. "
shale,,You can see this process in action if you look at the market for shale oil and gas. 
inexorable,,"However, the horrifying incident provided a powerful, if disturbing, example of how markets work – the inexorable outcome of the laws of supply and demand. "
precarious,,A report had highlighted the precarious finances of British universities and outlined the economic and social reasons why a larger part of that funding gap should be met by the students themselves. 
fraught,,"The debate around tuition fees and who should pay for them is complex, and often fraught. "
Hark,,Hark back to the chip dilemma in the Bank of England’s canteen. 
double-dip,,"If these bubbles burst, the global economy could fall into another (‘double-dip’) recession. "
swashbuckling,,"Hamming’s heroes assume almost mythical stature, swashbuckling across the scientific frontier, generating history in their wake. "
reasonably,,"There are about 40,000 reasonably commonly used words in English . "
neural,,And many of the practical challenges around neural nets—and machine learning in general—center on acquiring or preparing the necessary training data. 
of,,"As a leitmotif for this book, we will take the problem of “sums of squares,” because it is a very old and very pretty problem whose solution is best understood through the theory of modular forms. "
equations,,"At the end of the book, we will review how modular forms were used in Ash and Gross (2006) to tie up Galois representations and prove Fermat’s Last Theorem, and in Ash and Gross (2012) to be able to phrase the fascinating Birch–Swinnerton-Dyer Conjecture about solutions to cubic equations. "
circumspection,,"If an engineering structure breaks, people are likely to get killed, and so engineers do well to investigate the behaviour of structures with circumspection. "
lumbago,,Why do we get ‘lumbago’? 
trough,,"The technological structure Wonders there are many, but there is no wonder     Wilder than man – Man who makes the winds of winter bear him, Through the trough of waves that tower about him, Across grey wastes of sea; Man who wearies the Untiring, the Immortal– Earth, eldest of the Gods, as year by year, His plough teams come and go. "
shipwright,,"Using the old mixed constructions, the millwright and the coachbuilder, the shipwright and the rigger, needed a very high degree of skill, though of course they had their blind spots and they made the sort of mistakes one might expect from men without a formal analytical training. "
Using,,"Using the old mixed constructions, the millwright and the coachbuilder, the shipwright and the rigger, needed a very high degree of skill, though of course they had their blind spots and they made the sort of mistakes one might expect from men without a formal analytical training. "
millwright,,"Using the old mixed constructions, the millwright and the coachbuilder, the shipwright and the rigger, needed a very high degree of skill, though of course they had their blind spots and they made the sort of mistakes one might expect from men without a formal analytical training. "
girders,,Once he has settled in his rut of metal cogwheels and girders the engineer takes a lot of shifting. 
imposition,,These arise from the imposition of the law of the conservation of energy and describe the internal state of the system. 
sophists,,"We receive stimuli from the external world, (although some sophists have been known to deny the existence of the external world, we shall adopt a form of the “naive realism” position that the world exists and is to some extent “knowable”). "
thrilling,,"Had I skimmed it too rapidly, I might have missed the chapter in which he gives us the thrilling examples of literary doublespeak with which Paul Valéry eulogized Marcel Proust and Anatole France while making it quite clear that he had hardly read a word of their work. "
doublespeak,,"Had I skimmed it too rapidly, I might have missed the chapter in which he gives us the thrilling examples of literary doublespeak with which Paul Valéry eulogized Marcel Proust and Anatole France while making it quite clear that he had hardly read a word of their work. "
MILIEU,,"Preface BORN INTO A MILIEU where reading was rare, deriving little pleasure from the activity, and lacking in any case the time to devote myself to it, I have often found myself in the delicate situation of having to express my thoughts on books I haven’t read. "
mendacity,,"Among specialists, mendacity is the rule, and we tend to lie in proportion to the significance of the book under consideration. "
assuage,,"It is to help assuage such guilt, at least in part, that is the goal of this book. "
books,,"It is all the more difficult to reflect on unread books and the discussions they engender because the concept of non-reading is itself unclear, and so it is often hard to know whether we’re lying or not when we say that we’ve read a book. "
engender,,"It is all the more difficult to reflect on unread books and the discussions they engender because the concept of non-reading is itself unclear, and so it is often hard to know whether we’re lying or not when we say that we’ve read a book. "
frivolous,,"Most engineers have had no aesthetic training at all, and the tendency in the schools of engineering is to despise such matters as frivolous. "
deflection,,"Again, furniture designers, incredibly, are not taught during their formal training how to calculate the deflection in an ordinary bookshelf when it is loaded with books, and so it is not very surprising that most of them seem to have no ideas about relating the appearance to the structure of their products."
erstwhile,,"1 That combination of military power and religious–personal authority connected to Julius Caesar allowed the younger Caesar to accrue new forms of political power, for example, summoning the Senate without any official authority to do so in 32 BCE, and then getting each of the municipalities in Italy to demand that he lead them in a last wave of battle against his erstwhile ally now allied with the queen of Egypt.2 Octavian did not abolish the republican magistracies. "
magistracies,,"This chapter discusses ‘sovereignty’ not as the translation of any one particular Latin word, but rather as the emperors’ evolving set of powers, which combined, augmented or superseded the highest powers of the republican magistracies. "
tantamount,,Now it became possible to see Rome itself as tantamount to a single cosmopolitan community. 
notwithstanding,,"Each chapter is centred around an idea, while each idea in turn is presented as emblematic of a particular time, place or author, notwithstanding the fact that each was also explored in many others."
hinterland,,"A polis was a particular kind of territory and settlement, combining an urban core, often walled, with a region of agricultural hinterland. "
pillagers,,"(Famously, at one stage in their 5th-century wars with Sparta, the Athenians followed the advice of the general and orator Pericles and abandoned their countryside to the pillagers, crowding together in the urban core of the polis under the protection of the Long Walls, where they continued to care for ta politika together.) "
manumission,,"In another way, too, Roman citizenship was dramatically expansive and inclusive, because slaves who were freed by means of recognized civic procedures thereby became citizens (unlike in Greece).6 Still, relatively few of these new citizens created by manumission (i.e., by being freed) or incorporation could come to Rome in practice to attend the assemblies where officials were elected and laws passed. "
jockeying,,Each polis community was vulnerable to invasion and so was constantly jockeying for advantage and sometimes even permanent domination over its neighbours. 
eschewing,,"Some democracies, most conspicuously Athens, innovated further in using large popular juries to decide almost all legal cases and eschewing professional judges, taking such power out of the hands of archaic aristocratic bodies. "
augurs,,"The Greeks and Romans controlled the timing of political actions in diverse and complex ways: the Athenians timed the speeches in jury trials by means of a water-clock, for example; while the Romans consulted augurs, priests who were charged with determining when crucial political or military actions should be taken in accordance with divine favour.7 Within institutions, opportunities to act were carefully prescribed and allocated; outside them, an ambitious man might perceive and seize the opportunity to rewrite the rules and take"
plebeian,,"Chapter 4, the lineage began with Socrates, who questioned his fellow Athenians incessantly about the nature of justice, knowledge and virtue; it continued with Plato, his pupil, born to a privileged family but in thrall to the ugly plebeian Socrates, and the source of our most scintillating writings about him; and then, turning to Chapter 5, it was passed on to Aristotle, who came from a family serving the Macedonian court in northern Greece to join the Academy that Plato had established in Athens, later setting up a rival school of his own. "
thrall,,"Chapter 4, the lineage began with Socrates, who questioned his fellow Athenians incessantly about the nature of justice, knowledge and virtue; it continued with Plato, his pupil, born to a privileged family but in thrall to the ugly plebeian Socrates, and the source of our most scintillating writings about him; and then, turning to Chapter 5, it was passed on to Aristotle, who came from a family serving the Macedonian court in northern Greece to join the Academy that Plato had established in Athens, later setting up a rival school of his own. "
clambered,,"That undermining was witnessed a century later by the philosopher and statesman Marcus Tullius Cicero, who had clambered up the ladder of power and honour by sheer exertion of public speaking, but at the same time studied and debated zealously with philosophers of many schools in Rome and also in Athens. "
embellished,,"Within Rome, he embellished the original Greek idea of the monarchical constitution, envisioning how the virtues of mercy and liberality could be fostered in the princeps. "
tussle,,"A small farmer embittered by losing a tussle over family land to his brother, Hesiod claims to have risen above his loss by taking the high road, writing an ambitious poem, Erga kai Hemerai (Works and Days), to instruct his brother in how to farm. "
hoi polloi,,"m which we get our word ‘aristocracy’; in Athens, their families were known as the Eupatridae, the well-born.2 Sometimes they simply called themselves, or were called by others, hoi oligoi, the few, contrasted with hoi polloi, the many. "
insolence,,"Solon claimed to have combated hubris – the violence and insolence that threaten justice – by the establishment of eunomia, or a condition of good laws and law-abidingness. "
strife,,"Indeed, while both sides agreed to abide by Solon’s proposed constitution in order to put an end to civil strife, neither side liked it. "
precocious,,"After two years at Morton's, and probably at his instigation, the precocious boy was sent to further his education at Oxford. "
chagrin,,"During his years at Oxford and as a law student, however (and reportedly to his father's chagrin), More came increasingly under the influence of a group of literary scholars, central figures of the emerging tradition of Renaissance humanism in England. "
cognates,,"‘Humanism’ is a nineteenth-century coinage; but ‘humanist’ (like its cognates in other European languages) is found in the Renaissance itself, where it derived, first as Italian university-student slang, from studia humanitatis, a Ciceronian phrase that came to designate a family of disciplines comprising grammar, rhetoric, history, poetry and moral philosophy.3 In the Renaissance as in the Mi"
Lord Chancellor,,"In March 1518, he entered Henry VIII's council.5 His duties in this role spanned a broad range of activities, but his central employment, before he became Lord Chancellor, in 1529, was as secretary to the King. "
declamation,,"Erasmus reports a lost dialogue, evidently in the spirit of a declamation, defending the community of wives advocated in Plato's Republic. "
polemical,,"Several of More's longer, polemical letters of these years belong to the rhetorical genre of invective. "
Flanders,,"In May of that year, More left England for Flanders, as a member of a royal trade commission. "
Antwerp,,"At some point in the summer More visited Antwerp, where he met Peter Giles (Pieter Gillis), to whom Erasmus had recommended him. "
perennial,,"Although the social problems Utopia addresses are perennial, the particular formulations of them, and the data of recent and contemporary English and European life that the book deploys, reflect More's personal and professional experience. "
antecedents,,"lised account of the imaginary polity as if it actually existed.10 The debate that occupies almost all of Book I of Utopia also has classical (and humanist) antecedents, and complex relationships to them. "
garrison,,After much persuasion and expostulation he got Amerigo’s permission to be one of the twenty-four men who were left in a garrison at the farthest point of the last voyage. 
mischief,,"There is some danger that through their imprudence this device, which they thought would be so advantageous to them, may become the cause of much mischief. "
fledgling,,"It’s only natural, of course, that each man should think his own inventions best: the crow loves his fledgling and the ape his cub. "
misgivings,,"As a matter of fact, we have no misgivings about neglecting the best examples they have left us; but if on some point their deliberations could have been more prudent, we immediately and eagerly seize the excuse of reverence for times past and cling to it desperately. "
mainspring,,and he seemed the mainspring of all public affairs. 
swaggering,,"And country folk dare not do so, for they don’t have to be told that one who has been raised softly to idle pleasures, who has been used to swaggering about like a bully with sword and buckler, is likely to look down on the whole neighbourhood and despise everybody else as beneath him. "
bully,,"And country folk dare not do so, for they don’t have to be told that one who has been raised softly to idle pleasures, who has been used to swaggering about like a bully with sword and buckler, is likely to look down on the whole neighbourhood and despise everybody else as beneath him. "
pernicious,,26 But France has learned to her cost how pernicious it is to feed such beasts. 
expedient,,"Your policy may look superficially like justice, but in reality it is neither just nor expedient. "
conducive,,"Meanwhile, my dear Raphael, I’d be glad to hear why you think theft should not be punished with the extreme penalty, or what other punishment you think would be more conducive to the common good. "
attrition,,"That was where the Danish physicist and Nobel laureate Niels Bohr waged a daily war of attrition against his twenty-fi ve- year- old German assistant, Werner Heisenberg, dismantling the young man’s most recent paper in a relentless series of bombardments. "
tantamount,,"Sometimes we have little or no historical data to guide us and proactive experimentation is impossible, impractical, or tantamount to a decision to proceed. "
restitution,,"‘ “In their land, whoever is found guilty of theft must make restitution to the owner, not (as elsewhere) to the prince;38 they think the prince has* precisely as much right to the stolen goods as the thief himself. "
